                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.7027,                 1.6175,                 1.5094,                0.99309,                0.55731,                0.66667,                0.73636,                0.47654,                0.62393,                0.52381,                0.73636,                0.37048,                 1.3728,                 1.4733,                 1.1456,                 1.0236,               0.002278,               0.002278,               0.002278
                     81,                 1.7336,                 1.7462,                 1.3929,                 0.9761,                0.56425,                0.80952,                0.75673,                0.48828,                 0.6146,                0.52381,                0.68566,                0.35914,                 1.3475,                 1.5039,                  1.158,                 1.0256,               0.002179,               0.002179,               0.002179
                     82,                 1.6264,                 1.5826,                 1.3507,                 1.0255,                0.55797,                0.80952,                0.74718,                0.48522,                0.48657,                0.66667,                 0.6936,                0.33821,                 1.2775,                 1.4477,                 1.1876,                 1.0025,                0.00208,                0.00208,                0.00208
                     83,                 1.6734,                 1.6858,                 1.3964,                0.96283,                0.56188,                0.80952,                0.74907,                0.50103,                0.49649,                0.66667,                 0.6935,                0.36829,                 1.2361,                 1.4122,                 1.1667,                0.99734,               0.001981,               0.001981,               0.001981
                     84,                 1.4932,                 1.5057,                 1.3415,                 1.0128,                0.60286,                 0.7659,                0.76449,                0.53184,                0.55325,                0.66667,                0.69341,                0.36694,                  1.245,                 1.3464,                 1.0841,                0.99665,               0.001882,               0.001882,               0.001882
                     85,                 1.4657,                 1.5408,                 1.3116,                0.99825,                0.60116,                0.75554,                0.77168,                0.51143,                0.55673,                0.66667,                 0.7243,                0.39815,                 1.2471,                 1.3146,                 1.0425,                 0.9943,               0.001783,               0.001783,               0.001783
                     86,                 1.5163,                  1.542,                 1.3609,                0.96381,                   0.44,                0.78649,                0.74815,                 0.4784,                0.86997,                0.52381,                0.71329,                0.39193,                  1.314,                  1.279,                0.99622,                 1.0017,               0.001684,               0.001684,               0.001684
                     87,                  1.587,                 1.4609,                 1.3134,                 1.0049,                0.43661,                0.80694,                0.74821,                0.46543,                0.89927,                0.52381,                0.71237,                0.37503,                  1.305,                 1.2826,                0.97269,                 1.0081,               0.001585,               0.001585,               0.001585
                     88,                 1.5609,                 1.3202,                 1.3393,                 0.9927,                0.40832,                0.80952,                0.74858,                0.45014,                 0.5726,                0.52381,                 0.7083,                0.39923,                 1.2444,                 1.3221,                0.97396,                0.99532,               0.001486,               0.001486,               0.001486
                     89,                 1.6067,                 1.6599,                  1.357,                0.98077,                0.41832,                0.80952,                0.74858,                0.45724,                0.72532,                0.52381,                0.70227,                0.38658,                 1.2245,                 1.3435,                0.96738,                0.99116,               0.001387,               0.001387,               0.001387
                     90,                 1.4939,                 1.4611,                 1.3129,                0.99131,                0.90983,                0.52381,                0.75262,                0.48759,                0.90983,                0.52381,                0.68155,                0.31776,                 1.1813,                 1.3553,                0.94433,                0.98451,               0.001288,               0.001288,               0.001288
                     91,                 1.4538,                  1.561,                 1.2782,                 1.0081,                0.41654,                0.80952,                 0.7546,                 0.5024,                0.94361,                0.52381,                0.68352,                0.32568,                 1.1491,                 1.3512,                0.92738,                0.97886,               0.001189,               0.001189,               0.001189
                     92,                 1.5397,                 1.6878,                 1.3414,                0.99806,                0.45264,                0.78507,                0.75433,                0.52958,                0.43552,                0.71429,                0.74625,                0.34441,                 1.1177,                 1.3559,                0.91352,                0.96879,                0.00109,                0.00109,                0.00109
                     93,                 1.4081,                 1.6398,                 1.2107,                 1.0323,                0.46123,                0.77193,                0.77218,                0.52217,                0.45231,                0.71429,                0.74625,                0.33555,                 1.0973,                 1.3599,                0.89667,                0.96241,               0.000991,               0.000991,               0.000991
                     94,                 1.3685,                 1.5127,                 1.2167,                0.96014,                0.63031,                0.75191,                0.78403,                0.51588,                0.58769,                0.66667,                0.71296,                0.40476,                 1.1037,                 1.3457,                0.88882,                0.95526,               0.000892,               0.000892,               0.000892
                     95,                 1.4138,                 1.5806,                 1.1927,                 1.0211,                 0.6335,                0.75172,                0.77203,                0.51457,                0.59097,                0.66667,                0.70096,                0.39931,                 1.1095,                 1.3337,                0.88053,                0.95476,               0.000793,               0.000793,               0.000793
                     96,                 1.4541,                 1.6411,                 1.1725,                0.97292,                0.61522,                0.75566,                 0.7838,                0.52999,                0.57072,                0.66667,                0.71273,                0.38753,                  1.126,                 1.3028,                0.86666,                0.96069,               0.000694,               0.000694,               0.000694
                     97,                 1.4198,                 1.5278,                 1.2141,                 1.0218,                 0.6126,                0.75828,                0.77196,                0.52406,                 0.5668,                0.66667,                0.70089,                0.38279,                 1.1256,                 1.2801,                0.86347,                0.95948,               0.000595,               0.000595,               0.000595
                     98,                 1.4207,                 1.3453,                 1.2439,                  1.026,                0.60982,                0.76349,                0.77196,                0.52407,                 0.9274,                0.52381,                0.70089,                0.38626,                 1.1529,                  1.249,                 0.8573,                0.97096,               0.000496,               0.000496,               0.000496
                     99,                 1.4714,                 1.4203,                 1.2118,                0.99837,                0.62732,                0.76497,                0.76492,                0.52484,                0.93909,                0.52381,                0.69385,                0.38317,                  1.182,                 1.2429,                0.86857,                0.97617,               0.000397,               0.000397,               0.000397
                    100,                 1.5272,                 1.5752,                 1.2401,                 1.0937,                 0.6264,                0.76947,                0.76485,                0.51768,                0.94548,                0.52381,                0.69378,                0.38307,                 1.1754,                 1.2315,                0.86789,                0.98155,               0.000298,               0.000298,               0.000298
